"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","description"
"50","ITGB1BP1",0,-0.301228549653605,0.142,0.972,0,"integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]"
"51","SSU72",0,-0.301423116076037,0.216,0.994,0,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]"
"52","HINT2",0,-0.303457615578595,0.066,0.906,0,"histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]"
"53","NPDC1",0,-0.306354760957982,0.088,0.947,0,"neural proliferation, differentiation and control 1 [Source:HGNC Symbol;Acc:HGNC:7899]"
"54","GTF3C6",0,-0.306638007806751,0.214,0.993,0,"general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]"
"55","SLC25A39",0,-0.307266100409133,0.18,0.985,0,"solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]"
"56","TP53TG1",0,-0.309874914772382,0.138,0.985,0,"TP53 target 1 [Source:HGNC Symbol;Acc:HGNC:17026]"
"57","GPA33",0,-0.310114123308418,0.009,0.686,0,"glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]"
"58","RALY",0,-0.310563779002049,0.178,0.983,0,"RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]"
"59","ARPC1A",0,-0.310893140177541,0.235,0.994,0,"actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]"
"60","HSBP1L1",0,-0.313868923146836,0.069,0.929,0,"heat shock factor binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:37243]"
"61","TMEM141",0,-0.315875156048403,0.061,0.884,0,"transmembrane protein 141 [Source:HGNC Symbol;Acc:HGNC:28211]"
"62","CYSTM1",0,-0.316706943665046,0.192,0.984,0,"cysteine rich transmembrane module containing 1 [Source:HGNC Symbol;Acc:HGNC:30239]"
"63","SPINK4",0,-0.318729230440162,0.039,0.503,0,"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]"
"64","HNRNPA1P48",0,-0.321320275679105,0.035,0.851,0,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 48 [Source:HGNC Symbol;Acc:HGNC:48778]"
"65","TNNT1",0,-0.324199946131051,0.095,0.916,0,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]"
"66","CCK",0,-0.32461555195282,0.108,0.679,0,"cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]"
"67","DNAJC19",0,-0.325429338301204,0.087,0.961,0,"DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]"
"68","ARL6IP4",0,-0.328436516410989,0.225,0.995,0,"ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]"
"69","IGBP1",0,-0.329412372689005,0.055,0.884,0,"immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]"
"70","MALL",0,-0.331606535468624,0.083,0.843,0,"mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]"
"71","LAMTOR2",0,-0.331808822407884,0.118,0.973,0,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"
"72","TBRG1",0,-0.332900706670614,0.192,0.99,0,"transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]"
"73","SELENOH",0,-0.336260841197609,0.204,0.997,0,"selenoprotein H [Source:HGNC Symbol;Acc:HGNC:18251]"
"74","NBL1",0,-0.349465178497118,0.137,0.974,0,"NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
"75","RCC1",0,-0.349989516518466,0.078,0.951,0,"regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]"
"76","RAB4A",0,-0.351929743966159,0.095,0.971,0,"RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]"
"77","AC007405.3",0,-0.351993952881104,0.134,0.93,0,"glutamate rich 2 [Source:NCBI gene;Acc:285141]"
"78","CCDC85B",0,-0.353204085031167,0.097,0.942,0,"coiled-coil domain containing 85B [Source:HGNC Symbol;Acc:HGNC:24926]"
"79","DNPH1",0,-0.358019948182034,0.153,0.986,0,"2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218]"
"80","CISD3",0,-0.361567565756921,0.082,0.944,0,"CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578]"
"81","C19orf53",0,-0.362914821896011,0.225,0.996,0,"chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]"
"82","ST6GALNAC1",0,-0.366642073100993,0.054,0.907,0,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]"
"83","QARS",0,-0.369115110097231,0.079,0.952,0,"glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:9751]"
"84","SNHG7",0,-0.371498013264833,0.098,0.966,0,"small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]"
"85","SAT1",0,-0.380470851698806,0.219,0.985,0,"spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]"
"86","MPG",0,-0.38251662046905,0.121,0.974,0,"N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]"
"87","ZDHHC12",0,-0.382682433078232,0.099,0.972,0,"zinc finger DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159]"
"88","GAS6",0,-0.383709306619271,0.062,0.921,0,"growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]"
"89","AGPAT2",0,-0.388318339507303,0.132,0.979,0,"1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]"
"90","CCNG1",0,-0.394371916424986,0.099,0.967,0,"cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]"
"91","EIF4EBP1",0,-0.398343584130216,0.126,0.947,0,"eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]"
"92","RAB40B",0,-0.408997186539248,0.035,0.882,0,"RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18284]"
"93","SMDT1",0,-0.410829860313906,0.108,0.979,0,"single-pass membrane protein with aspartate rich tail 1 [Source:HGNC Symbol;Acc:HGNC:25055]"
"94","MPC2",0,-0.411297065955556,0.116,0.977,0,"mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]"
"95","PTRHD1",0,-0.413573180893563,0.125,0.986,0,"peptidyl-tRNA hydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33782]"
"96","CDC42EP5",0,-0.41403034666225,0.129,0.979,0,"CDC42 effector protein 5 [Source:HGNC Symbol;Acc:HGNC:17408]"
"97","NENF",0,-0.414693996222122,0.124,0.979,0,"neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]"
"98","MCRIP2",0,-0.415962963380188,0.146,0.989,0,"MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142]"
"99","CD99",0,-0.419135920856246,0.126,0.98,0,"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"100","SNF8",0,-0.422585477694032,0.11,0.985,0,"SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028]"
"101","AES",0,-0.427529230434008,0.152,0.987,0,NA
"102","DGCR6L",0,-0.43539094259907,0.06,0.95,0,"DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]"
"103","REG4",0,-0.456159574159997,0.085,0.703,0,"regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977]"
"104","EIF3L",0,-0.45755059413626,0.175,0.996,0,"eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]"
"105","SNHG25",0,-0.47185138826315,0.071,0.953,0,"small nucleolar RNA host gene 25 [Source:HGNC Symbol;Acc:HGNC:51534]"
"106","ERICH2",0,-0.481151366944869,0.048,0.868,0,"glutamate rich 2 [Source:HGNC Symbol;Acc:HGNC:44395]"
"107","TMEM219",0,-0.481192992174618,0.109,0.984,0,"transmembrane protein 219 [Source:HGNC Symbol;Acc:HGNC:25201]"
"108","MZT2A",0,-0.495794410599,0.249,0.999,0,"mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:HGNC:33187]"
"109","C9orf16",0,-0.497793727742331,0.204,0.997,0,"chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]"
"110","ATF4",0,-0.5010807625286,0.079,0.941,0,"activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]"
"111","BCL7C",0,-0.504557659384858,0.165,0.989,0,"BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]"
"112","EIF3H",0,-0.511368755393635,0.261,0.999,0,"eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]"
"113","C6orf48",0,-0.521383362786961,0.047,0.94,0,NA
"114","STARD10",0,-0.526148839380728,0.187,0.992,0,"StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]"
"115","CTNNBIP1",0,-0.528181407855309,0.062,0.954,0,"catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]"
"116","IDH2",0,-0.541867624599827,0.093,0.974,0,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:5383]"
"117","FCGRT",0,-0.546666108170607,0.067,0.948,0,"Fc fragment of IgG receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]"
"118","OAZ1",0,-0.55111892633128,0.662,1,0,"ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]"
"119","EIF3F",0,-0.560516441376838,0.204,0.998,0,"eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]"
"120","SCD",0,-0.563574012814517,0.07,0.884,0,"stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]"
"121","RBCK1",0,-0.60404614844729,0.133,0.992,0,"RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]"
"122","RPL36AL",0,-0.612270150984891,0.462,1,0,"ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]"
"123","HNRNPA1",0,-0.637438760590531,0.629,1,0,"heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]"
"124","EEF2",0,-0.640471006567666,0.456,1,0,"eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]"
"125","GCHFR",0,-0.645712747770078,0.132,0.987,0,"GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]"
"126","ZFAS1",0,-0.649200043887256,0.446,1,0,"ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101]"
"127","AC020656.1",0,-0.669523955273174,0.158,0.976,0,"novel transcript, antisense to LYZ"
"128","H2AFJ",0,-0.689185420037307,0.22,0.99,0,"H2A histone family member J [Source:HGNC Symbol;Acc:HGNC:14456]"
"129","PPDPF",0,-0.697149971841314,0.439,1,0,"pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]"
"130","EEF1B2",0,-0.705767801034143,0.673,1,0,"eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]"
"131","RPS17",0,-0.862437672137616,0.598,1,0,"ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]"
"132","RPL4",0,-0.892573423522902,0.67,1,0,"ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]"
"133","PHGR1",0,-1.0705141533113,0.367,0.993,0,"proline, histidine and glycine rich 1 [Source:HGNC Symbol;Acc:HGNC:37226]"
"134","SLC25A6",0,-1.1502560684207,0.227,1,0,"solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]"
"135","NOP53",0,-1.15129078441838,0.118,0.999,0,"NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]"
"136","RPS20",0,-1.3012246332751,0.678,1,0,"ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]"
"137","RPL31",0,-1.44472871832684,0.526,1,0,"ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"138","MRPL42",4.8874438687186e-307,0.263341619531255,0.183,0.865,1.0187387999957e-302,"mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]"
"139","RPL36A",7.40530028833494e-307,-0.531876436007952,0.61,1,1.54356079210054e-302,"ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]"
"140","TRIM24",1.02873485818774e-306,0.25463049065925,0.141,0.746,2.14429493840653e-302,"tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]"
"141","SLK",2.7269713626018e-305,0.270906941985997,0.139,0.739,5.68409910820719e-301,"STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]"
"142","ATRX",2.49102013888416e-304,0.300007944096839,0.167,0.815,5.19228237749015e-300,"ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]"
"143","REST",3.49012078193296e-304,0.321290168062379,0.138,0.734,7.27480775786105e-300,"RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]"
"144","MCCC2",1.14569637481052e-303,0.266312817123961,0.132,0.718,2.38808952365505e-299,"methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]"
"145","CTAG2",3.71848177921103e-303,-0.387518714434661,0.243,0.997,7.75080342058747e-299,"cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]"
"146","DIAPH1",4.47625089403967e-303,0.25221616080328,0.146,0.755,9.33029736353628e-299,"diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]"
"147","POM121C",4.55049393429039e-303,0.280212678389721,0.139,0.737,9.48504955663489e-299,"POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]"
"148","H1F0",5.2397441058688e-303,-0.526089928787375,0.294,0.994,1.09217226142729e-298,"H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]"
"149","HEBP2",2.7585413186402e-302,-0.454590405076437,0.259,0.998,5.74990352457364e-298,"heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]"
"150","GUK1",3.86093550064643e-302,-0.437425576234513,0.256,0.997,8.04773395754742e-298,"guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]"
"151","NDFIP2",4.50706843304772e-302,0.269321543477305,0.174,0.833,9.39453344184467e-298,"Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537]"
"152","MESD",1.12855047812681e-301,0.251943549620134,0.191,0.88,2.35235061660752e-297,"mesoderm development LRP chaperone [Source:HGNC Symbol;Acc:HGNC:13520]"
"153","TIMM13",3.17210603891652e-301,-0.253355909484481,0.239,0.995,6.61193782751758e-297,"translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]"
"154","IST1",5.09157739673642e-301,0.323491523186247,0.173,0.827,1.06128839257574e-296,"IST1 factor associated with ESCRT-III [Source:HGNC Symbol;Acc:HGNC:28977]"
"155","CD151",1.56210777691694e-300,0.265030510733386,0.173,0.828,3.25605745020568e-296,"CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]"
"156","KNOP1",1.00195968483963e-299,0.266229601723891,0.183,0.855,2.08848476707973e-295,"lysine rich nucleolar protein 1 [Source:HGNC Symbol;Acc:HGNC:34404]"
"157","EDF1",1.35733423648249e-299,-0.474904482911333,0.263,0.996,2.8292274825241e-295,"endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]"
"158","BLCAP",1.38508117844327e-299,0.258287626765624,0.137,0.725,2.88706320834715e-295,"BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]"
"159","CERS6",1.90591587260294e-299,0.28967457674996,0.166,0.807,3.97269104485356e-295,"ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]"
"160","MZT2B",4.53327397294263e-299,-0.562171810189658,0.29,0.999,9.44915626920163e-295,"mitotic spindle organizing protein 2B [Source:HGNC Symbol;Acc:HGNC:25886]"
"161","ANXA7",5.94773720788510e-299,0.254481868664557,0.121,0.682,1.23974634361157e-294,"annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]"
"162","GSE1",3.79837264657449e-298,0.259642425847834,0.134,0.715,7.91732794451987e-294,"Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]"
"163","PCMT1",1.08456766237164e-297,0.253977893034641,0.139,0.73,2.26067283544745e-293,"protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728]"
"164","LARP7",1.86020290782355e-297,0.252152066229753,0.115,0.664,3.8774069410674e-293,"La ribonucleoprotein domain family member 7 [Source:HGNC Symbol;Acc:HGNC:24912]"
"165","LARP1",7.30582964089593e-297,0.259156613784288,0.194,0.884,1.52282713034835e-292,"La ribonucleoprotein domain family member 1 [Source:HGNC Symbol;Acc:HGNC:29531]"
"166","LMAN1",2.9135838152272e-296,0.262398365715649,0.189,0.867,6.07307410445958e-292,"lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]"
"167","SNW1",4.62398300991306e-296,0.289125927422246,0.164,0.796,9.63823018586279e-292,"SNW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16696]"
"168","CTNNA1",5.1998571062792e-296,0.324432785392552,0.17,0.813,1.08385821523284e-291,"catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]"
"169","CARHSP1",4.39577161084011e-295,-0.416050671062094,0.261,0.99,9.16254634563512e-291,"calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]"
"170","OCIAD1",6.18355117637598e-295,0.296913739806688,0.18,0.842,1.28889940720381e-290,"OCIA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16074]"
"171","PLEKHB2",6.73634241374556e-295,0.290627124479803,0.145,0.743,1.40412321272112e-290,"pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]"
"172","MIDN",7.04565292745651e-295,0.27688346210595,0.145,0.742,1.46859589619904e-290,"midnolin [Source:HGNC Symbol;Acc:HGNC:16298]"
"173","BIRC6",9.21813595641114e-295,0.278942126893128,0.153,0.764,1.92142825875434e-290,"baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]"
"174","DCAF7",6.1549625011871e-294,0.272028805289469,0.183,0.847,1.28294038374744e-289,"DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]"
"175","TMX2",7.70228305631391e-294,0.27109909351796,0.132,0.705,1.60546388025807e-289,"thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]"
"176","ZC3H13",5.26429600992867e-293,0.314974398464139,0.176,0.828,1.09728986030953e-288,"zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]"
"177","DHX9",6.91901368875332e-293,0.296714857933241,0.144,0.737,1.44219921328374e-288,"DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]"
"178","SLC44A1",1.12844937264526e-292,0.266916930700727,0.206,0.914,2.35213987234177e-288,"solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]"
"179","TARDBP",3.50384053903629e-292,0.290191696574783,0.146,0.741,7.30340521956725e-288,"TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]"
"180","HMGB2",7.63449077566905e-292,-0.339046921027755,0.217,0.861,1.59133325728046e-287,"high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]"
"181","DDX27",2.07951650600288e-291,0.306384249874385,0.179,0.834,4.33454420511241e-287,"DEAD-box helicase 27 [Source:HGNC Symbol;Acc:HGNC:15837]"
