"","genes","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"98","PCK2",0,1.01971492012014,0.873,0.27,0,"NCC24","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"
"99","SLCO1B3",0,1.01546881377856,0.775,0.003,0,"NCC24","SLCO1B3","solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]"
"100","TATDN1",0,1.01378648029217,0.992,0.781,0,"NCC24","TATDN1","TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24220]"
"101","CSTA",0,1.0127059183921,0.668,0.032,0,"NCC24","CSTA","cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]"
"102","PTP4A3",0,1.00504092690592,0.831,0.123,0,"NCC24","PTP4A3","protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]"
"103","C5orf38",0,1.00423335214077,0.775,0,0,"NCC24","C5orf38","chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:24226]"
"104","VPS28",0,0.980132127043618,0.994,0.747,0,"NCC24","VPS28","VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]"
"105","HSF1",0,0.968725679274217,0.991,0.777,0,"NCC24","HSF1","heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]"
"106","ROCK1",0,0.960070933682573,0.995,0.861,0,"NCC24","ROCK1","Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]"
"107","TRIR",0,0.95472514844603,0.999,0.987,0,"NCC24","TRIR","telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424]"
"108","B2M",0,0.950708176132425,1,1,0,"NCC24","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]"
"109","SULT1E1",0,0.949913407826945,0.54,0.01,0,"NCC24","SULT1E1","sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]"
"110","SNHG18",0,0.949854373121314,0.879,0.275,0,"NCC24","SNHG18","small nucleolar RNA host gene 18 [Source:HGNC Symbol;Acc:HGNC:49007]"
"111","TNKS",0,0.949624430202077,0.871,0.228,0,"NCC24","TNKS","tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]"
"112","PABPC1",0,0.946491254707837,1,1,0,"NCC24","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]"
"113","GALNT6",0,0.940228438821857,0.719,0.013,0,"NCC24","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]"
"114","SLC9A3",0,0.937432027183765,0.743,0.004,0,"NCC24","SLC9A3","solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]"
"115","MAF1",0,0.936996755841268,1,0.953,0,"NCC24","MAF1","MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
"116","ARMCX3",0,0.93027122273965,0.731,0,0,"NCC24","ARMCX3","armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065]"
"117","FAM110B",0,0.929454229230154,0.652,0,0,"NCC24","FAM110B","family with sequence similarity 110 member B [Source:HGNC Symbol;Acc:HGNC:28587]"
"118","FBP1",0,0.925241874334648,0.727,0.005,0,"NCC24","FBP1","fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]"
"119","TMEM230",0,0.916339561849034,0.999,0.896,0,"NCC24","TMEM230","transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]"
"120","COL27A1",0,0.915660935277632,0.678,0.013,0,"NCC24","COL27A1","collagen type XXVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22986]"
"121","ENY2",0,0.903854508031856,1,0.995,0,"NCC24","ENY2","ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]"
"122","NFU1",0,0.900936645408034,0.789,0.097,0,"NCC24","NFU1","NFU1 iron-sulfur cluster scaffold [Source:HGNC Symbol;Acc:HGNC:16287]"
"123","TUSC1",0,0.899167740957096,0.735,0,0,"NCC24","TUSC1","tumor suppressor candidate 1 [Source:HGNC Symbol;Acc:HGNC:31010]"
"124","RETREG1",0,0.893406227129483,0.673,0.057,0,"NCC24","RETREG1","reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]"
"125","C16orf74",0,0.889018495499261,0.67,0.054,0,"NCC24","C16orf74","chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]"
"126","EIF3E",0,0.876233367128215,1,1,0,"NCC24","EIF3E","eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]"
"127","GATA4",0,0.847602550763451,0.71,0.05,0,"NCC24","GATA4","GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]"
"128","ERRFI1",0,0.838832672835151,0.558,0,0,"NCC24","ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]"
"129","MLPH",0,0.838385145416628,0.644,0,0,"NCC24","MLPH","melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]"
"130","SAMD5",0,0.832189369318457,0.64,0.001,0,"NCC24","SAMD5","sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]"
"131","CITED4",0,0.824411512589825,0.656,0,0,"NCC24","CITED4","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]"
"132","PPP1R9A",0,0.823503247313944,0.651,0,0,"NCC24","PPP1R9A","protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946]"
"133","WDR83OS",0,0.819039252931193,1,0.975,0,"NCC24","WDR83OS","WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]"
"134","JDP2",0,0.816987361561287,0.713,0.08,0,"NCC24","JDP2","Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]"
"135","EIF1",0,0.815286143535153,1,1,0,"NCC24","EIF1","eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]"
"136","ARMCX6",0,0.813457500732102,0.711,0,0,"NCC24","ARMCX6","armadillo repeat containing X-linked 6 [Source:HGNC Symbol;Acc:HGNC:26094]"
"137","JTB",0,0.799535781295123,1,0.997,0,"NCC24","JTB","jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]"
"138","WDR72",0,0.798289758172336,0.705,0.044,0,"NCC24","WDR72","WD repeat domain 72 [Source:HGNC Symbol;Acc:HGNC:26790]"
"139","LRMDA",0,0.788877851119806,0.644,0.011,0,"NCC24","LRMDA","leucine rich melanocyte differentiation associated [Source:HGNC Symbol;Acc:HGNC:23405]"
"140","FES",0,0.78567742781674,0.672,0.007,0,"NCC24","FES","FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]"
"141","HES4",0,0.762623027183066,0.541,0,0,"NCC24","HES4","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]"
"142","RPS17",0,0.760876745319109,1,1,0,"NCC24","RPS17","ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]"
"143","HBE1",0,0.758267830364387,0.587,0,0,"NCC24","HBE1","hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]"
"144","NEBL",0,0.724734116309266,0.584,0,0,"NCC24","NEBL","nebulette [Source:HGNC Symbol;Acc:HGNC:16932]"
"145","CCDC144NL-AS1",0,0.721358447884434,0.584,0.011,0,"NCC24","CCDC144NL-AS1","CCDC144NL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51340]"
"146","ADCY1",0,0.708164124503231,0.548,0.003,0,"NCC24","ADCY1","adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]"
"147","TTTY14",0,0.701907865295043,0.585,0,0,"NCC24","TTTY14","testis-specific transcript, Y-linked 14 [Source:HGNC Symbol;Acc:HGNC:18495]"
"148","RPS6",0,0.70050867456898,1,1,0,"NCC24","RPS6","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]"
"149","XKR6",0,0.690555834201849,0.589,0,0,"NCC24","XKR6","XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]"
"150","KCND3",0,0.681694686828158,0.562,0,0,"NCC24","KCND3","potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]"
"151","CHRM3",0,0.678863060954679,0.591,0.001,0,"NCC24","CHRM3","cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]"
"152","CCNI",0,0.672272786834674,1,1,0,"NCC24","CCNI","cyclin I [Source:HGNC Symbol;Acc:HGNC:1595]"
"153","FNBP1",0,0.67116827384117,0.576,0,0,"NCC24","FNBP1","formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]"
"154","REC8",0,0.669527025504957,0.56,0.006,0,"NCC24","REC8","REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]"
"155","ECHDC2",0,0.662274461368402,0.596,0.025,0,"NCC24","ECHDC2","enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]"
"156","MMGT1",0,0.652768562756423,0.598,0.003,0,"NCC24","MMGT1","membrane magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28100]"
"157","RPL37",0,0.643379988320117,1,1,0,"NCC24","RPL37","ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]"
"158","CARD16",0,0.641635926276153,0.548,0,0,"NCC24","CARD16","caspase recruitment domain family member 16 [Source:HGNC Symbol;Acc:HGNC:33701]"
"159","RPL30",0,0.63407246322734,1,1,0,"NCC24","RPL30","ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]"
"160","RPS25",0,0.625242112114293,1,1,0,"NCC24","RPS25","ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]"
"161","RPL13",0,0.622354079722259,1,1,0,"NCC24","RPL13","ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]"
"162","RPL37A",0,0.617318943399986,1,1,0,"NCC24","RPL37A","ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]"
"163","RHOD",0,0.616248249296201,0.529,0,0,"NCC24","RHOD","ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]"
"164","CLEC11A",0,0.586750932028587,0.525,0,0,"NCC24","CLEC11A","C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]"
"165","RPL31",0,0.584826426999402,1,1,0,"NCC24","RPL31","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"166","RPS3",0,0.584659417547137,1,1,0,"NCC24","RPS3","ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]"
"167","RPL9",0,0.578371214152483,1,1,0,"NCC24","RPL9","ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]"
"168","SLC2A10",0,0.560502705953651,0.51,0,0,"NCC24","SLC2A10","solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]"
"169","RPL35A",0,0.547687931572511,1,1,0,"NCC24","RPL35A","ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]"
"170","RPLP0",0,0.520176143755484,1,1,0,"NCC24","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]"
"171","NDUFAF3",1.01820653311794e-307,0.963539596535309,0.989,0.729,1.8380664335845e-303,"NCC24","NDUFAF3","NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]"
"172","CYC1",1.05067377507672e-306,0.848805713166681,1,0.993,1.8966762987685e-302,"NCC24","CYC1","cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]"
