"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","description"
"58","MGAT4B",0,-0.370291664126083,0.08,0.948,0,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]"
"59","AGPAT2",0,-0.374366948458023,0.121,0.973,0,"1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]"
"60","C1orf122",0,-0.374826762771251,0.115,0.967,0,"chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]"
"61","NUDT14",0,-0.383145058168571,0.075,0.964,0,"nudix hydrolase 14 [Source:HGNC Symbol;Acc:HGNC:20141]"
"62","CHMP4B",0,-0.391091630923011,0.189,0.995,0,"charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]"
"63","CTAG2",0,-0.397064585570966,0.194,0.994,0,"cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]"
"64","SLC25A39",0,-0.405268601372394,0.165,0.987,0,"solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]"
"65","METRN",0,-0.4113151216509,0.107,0.967,0,"meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]"
"66","LAMTOR2",0,-0.418240386620033,0.105,0.985,0,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"
"67","CISD3",0,-0.422463316737625,0.073,0.945,0,"CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578]"
"68","JOSD2",0,-0.422865455474192,0.054,0.937,0,"Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853]"
"69","GCHFR",0,-0.424212863969196,0.144,0.97,0,"GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]"
"70","NENF",0,-0.4274075006766,0.117,0.977,0,"neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]"
"71","FAAP20",0,-0.427741776358054,0.149,0.995,0,"FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]"
"72","CCDC85B",0,-0.430657864940484,0.082,0.938,0,"coiled-coil domain containing 85B [Source:HGNC Symbol;Acc:HGNC:24926]"
"73","MTRNR2L12",0,-0.431345377477663,0.012,0.783,0,"MT-RNR2 like 12 [Source:HGNC Symbol;Acc:HGNC:37169]"
"74","STUB1",0,-0.440793135025321,0.13,0.986,0,"STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]"
"75","ARL6IP4",0,-0.444718207634461,0.157,0.995,0,"ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]"
"76","RPS19BP1",0,-0.451591204213713,0.141,0.987,0,"ribosomal protein S19 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28749]"
"77","RBCK1",0,-0.453392068381924,0.133,0.989,0,"RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]"
"78","ATF4",0,-0.455407500307203,0.092,0.941,0,"activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]"
"79","ARPC1A",0,-0.463331255950263,0.211,0.999,0,"actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]"
"80","PTRHD1",0,-0.484984520083003,0.12,0.991,0,"peptidyl-tRNA hydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33782]"
"81","MRPL41",0,-0.492886798640143,0.192,0.997,0,"mitochondrial ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:14492]"
"82","DNPH1",0,-0.493159261341151,0.132,0.985,0,"2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218]"
"83","MPG",0,-0.501907346238988,0.115,0.995,0,"N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]"
"84","MTRNR2L8",0,-0.517494313330921,0.001,0.744,0,"MT-RNR2 like 8 [Source:HGNC Symbol;Acc:HGNC:37165]"
"85","BCL7C",0,-0.52505889397721,0.115,0.981,0,"BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]"
"86","SNF8",0,-0.533972503332018,0.146,0.992,0,"SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028]"
"87","ASPSCR1",0,-0.551503040067945,0.137,0.949,0,"ASPSCR1 tether for SLC2A4, UBX domain containing [Source:HGNC Symbol;Acc:HGNC:13825]"
"88","NBL1",0,-0.556495638485165,0.119,0.979,0,"NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
"89","MCRIP2",0,-0.558185958962558,0.106,0.984,0,"MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142]"
"90","TNFRSF12A",0,-0.562970919859173,0.19,0.968,0,"TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"91","SNHG7",0,-0.570735249847068,0.079,0.957,0,"small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]"
"92","EIF3F",0,-0.592110417673997,0.196,0.997,0,"eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]"
"93","C9orf16",0,-0.641712530719315,0.158,0.997,0,"chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]"
"94","GUK1",0,-0.675226475540768,0.222,0.998,0,"guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]"
"95","CCK",0,-0.829729261123244,0.191,0.893,0,"cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]"
"96","ZFAS1",0,-0.857018497261072,0.453,1,0,"ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101]"
"97","RPL4",0,-0.878728867088029,0.644,1,0,"ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]"
"98","EEF1B2",0,-0.950247391804316,0.587,1,0,"eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]"
"99","SLC25A6",0,-1.05977702446313,0.275,1,0,"solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]"
"100","NOP53",0,-1.17555452553891,0.107,0.999,0,"NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]"
"101","RPL31",0,-1.21917761843503,0.581,1,0,"ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"102","PFDN1",1.13959351369691e-303,0.256095872336625,0.165,0.905,2.47610878656065e-299,"prefoldin subunit 1 [Source:HGNC Symbol;Acc:HGNC:8866]"
"103","SSU72",1.80048173437695e-303,-0.365507709768786,0.208,0.994,3.91208671245423e-299,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]"
"104","C1GALT1",8.26998580851806e-301,0.255203064211505,0.131,0.81,1.7969025164748e-296,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]"
"105","ARPC4",1.71641843173131e-300,0.260684330402044,0.153,0.869,3.7294339684658e-296,"actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]"
"106","RAB6A",3.45645869520839e-295,0.263802474850863,0.132,0.806,7.51019345294878e-291,"RAB6A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9786]"
"107","M6PR",2.2927399652805e-292,0.253586190856873,0.13,0.797,4.98166539656147e-288,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
"108","GTF3C6",1.02609132893669e-291,-0.303131066272184,0.21,0.993,2.22949123951364e-287,"general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]"
"109","FAM177A1",4.04801717643177e-291,-0.251720121237267,0.211,0.993,8.79553172095094e-287,"family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829]"
"110","KIF21A",5.72201497989491e-291,0.253843797572727,0.129,0.793,1.24327941483157e-286,"kinesin family member 21A [Source:HGNC Symbol;Acc:HGNC:19349]"
"111","UTP11",1.81979574682089e-289,0.260573038444802,0.135,0.805,3.95405219869242e-285,"UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]"
"112","PRPF4B",9.07391450647908e-289,0.320572607932311,0.149,0.844,1.97158014396777e-284,"pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]"
"113","DNAJC7",5.56774259419021e-288,0.287088160727303,0.168,0.893,1.20975911086565e-283,"DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]"
"114","MAPK1IP1L",3.61246692609315e-287,0.272491979548535,0.129,0.788,7.84916813701519e-283,"mitogen-activated protein kinase 1 interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:19840]"
"115","HEXB",7.78408492780039e-287,0.255059652600893,0.135,0.803,1.69132597311247e-282,"hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]"
"116","DAZAP2",8.94370792647812e-285,0.28148138444908,0.142,0.819,1.94328885826517e-280,"DAZ associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2684]"
"117","MRPS12",3.03982275444235e-284,-0.437471318002017,0.23,0.996,6.60492688085233e-280,"mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]"
"118","ELF1",8.16020523870963e-284,0.251314080166792,0.131,0.788,1.77304939426683e-279,"E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]"
"119","EIF4A1",2.53437806888412e-283,0.252814866252675,0.179,0.917,5.50669666807142e-279,"eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]"
"120","IPO5",9.65952283862436e-283,0.261226333402522,0.151,0.84,2.0988211223763e-278,"importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]"
"121","AK3",1.4580694629446e-282,0.253572947773526,0.166,0.881,3.16809332908602e-278,"adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]"
"122","SRSF4",4.55448106050379e-282,0.254602514392521,0.178,0.912,9.89597644826263e-278,"serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]"
"123","FRG1",8.37852294149594e-282,0.260966349556508,0.129,0.779,1.82048546472824e-277,"FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]"
"124","RBBP7",5.21029005694511e-281,0.251360350926784,0.127,0.772,1.13209182357303e-276,"RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]"
"125","RACK1",4.71163408177732e-280,-0.605957488898236,0.693,1,1.02374385328858e-275,"receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]"
"126","EDF1",1.39455510112797e-279,-0.602340305959456,0.261,1,3.03008932373084e-275,"endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]"
"127","GNPAT",2.16939591216711e-279,0.271939643734398,0.125,0.765,4.7136634379567e-275,"glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]"
"128","STARD3NL",1.07733557446204e-278,0.310928095174348,0.149,0.83,2.34083473619112e-274,"STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]"
"129","SNX6",1.34562169714964e-278,0.255560162893456,0.188,0.936,2.92376682356673e-274,"sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]"
"130","FAM49B",1.83900257709375e-278,0.290852489951736,0.139,0.802,3.99578479950929e-274,"family with sequence similarity 49 member B [Source:HGNC Symbol;Acc:HGNC:25216]"
"131","PPP4R3A",5.42725646277261e-278,0.305155112503052,0.15,0.831,1.17923428423123e-273,"protein phosphatase 4 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:20219]"
"132","CLTB",2.87336851554281e-277,-0.284251839762018,0.223,0.99,6.24325511057142e-273,"clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]"
"133","C19orf53",8.14801448483641e-277,-0.460843519770344,0.233,0.999,1.77040058726526e-272,"chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]"
"134","NUDT21",1.31050144823469e-276,0.250106409610875,0.176,0.898,2.84745754672434e-272,"nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]"
"135","ARL6IP5",3.62800666261496e-276,0.277429873548304,0.126,0.765,7.88293287652978e-272,"ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]"
"136","EBLN3P",9.00877147099107e-276,0.27540984437953,0.126,0.763,1.95742586521694e-271,"endogenous Bornavirus like nucleoprotein 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:50682]"
"137","NSRP1",1.05466226881772e-275,0.27082793502595,0.112,0.727,2.29157017768715e-271,"nuclear speckle splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25305]"
"138","RSRC2",1.06767474107839e-275,0.301203930302308,0.154,0.838,2.31984367741513e-271,"arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]"
"139","ATG12",1.31348611667968e-275,0.25943649023725,0.134,0.785,2.8539426343216e-271,"autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]"
"140","SYNCRIP",7.66133037772861e-275,0.270937481532956,0.175,0.894,1.66465386447287e-270,"synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]"
"141","DDX52",7.71860696391991e-275,0.314039900966261,0.163,0.86,1.67709892112052e-270,"DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]"
"142","PLEKHB2",3.61628352103722e-274,0.269819759395118,0.153,0.834,7.85746083450967e-270,"pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]"
"143","SARS",1.21372122441257e-273,0.253120407994563,0.178,0.901,2.63717347640364e-269,"seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537]"
"144","IK",1.2752824501533e-273,0.308538640075806,0.161,0.855,2.77093370769309e-269,"IK cytokine [Source:HGNC Symbol;Acc:HGNC:5958]"
"145","IER3IP1",3.67389297020438e-273,0.262351570150009,0.174,0.89,7.98263464566008e-269,"immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18550]"
"146","TFF3",5.38500257000632e-273,-0.434956536939197,0.007,0.442,1.17005335841097e-268,"trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]"
"147","CNOT1",5.38730294459585e-273,0.269543867961217,0.162,0.856,1.17055318380179e-268,"CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]"
"148","TARS",1.69337547192236e-272,0.284025741081838,0.147,0.815,3.6793662253929e-268,"threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:11572]"
"149","NAP1L4",2.61082924336228e-272,0.32056984861872,0.166,0.866,5.67280977997756e-268,"nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]"
"150","S100P",2.14849354139907e-271,-0.262393289234622,0.069,0.603,4.6682467667519e-267,"S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]"
"151","MIER1",4.5931097715704e-270,0.288206176027696,0.123,0.748,9.97990891166816e-266,"MIER1 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29657]"
"152","LRPAP1",1.04583485825096e-269,0.252367203011303,0.178,0.893,2.2723899800077e-265,"LDL receptor related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]"
"153","RBBP6",7.44485966131654e-269,0.349003819235149,0.165,0.857,1.61761910721086e-264,"RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]"
"154","SEPT2",1.36822936560383e-268,0.264875847435163,0.171,0.873,2.972888765584e-264,NA
"155","DCAF7",1.40403495219679e-268,0.28061041509012,0.18,0.899,3.05068714413318e-264,"DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]"
"156","MRTO4",2.03682997951627e-268,0.26391912834574,0.139,0.786,4.42562417949296e-264,"MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]"
"157","CCDC88A",2.79417283125856e-268,0.345022160354468,0.148,0.812,6.0711787277586e-264,"coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]"
"158","DHX9",3.26965316719373e-268,0.276481287994051,0.123,0.745,7.10430240167854e-264,"DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]"
"159","UBE2Z",3.42244089376535e-268,0.299698642186971,0.155,0.83,7.43627957397335e-264,"ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]"
"160","ABCF1",6.36668339783443e-268,0.259619292524918,0.191,0.927,1.38335296868147e-263,"ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
"161","GTPBP4",1.60228137248987e-267,0.277054621659326,0.132,0.767,3.48143696614599e-263,"GTP binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21535]"
"162","TERF2IP",1.60434351063299e-267,0.263120441766366,0.146,0.804,3.48591757990335e-263,"TERF2 interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]"
"163","ZMYM2",2.05750251191774e-267,0.275312573048812,0.123,0.745,4.47054145789486e-263,"zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]"
"164","CDK4",5.40389137208278e-267,0.260029873674589,0.152,0.821,1.17415751732615e-262,"cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]"
"165","KPNA3",9.46457893138055e-267,0.291314307514564,0.129,0.759,2.05646371021037e-262,"karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]"
"166","CTBP1",1.11676424618986e-266,0.309593510579573,0.181,0.9,2.42650535412133e-262,"C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]"
"167","KPNA4",8.06673224689721e-266,0.277446382200085,0.131,0.761,1.75273958260583e-261,"karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]"
"168","ODC1",1.35543206870194e-265,-0.58553082980764,0.275,0.993,2.94508279887558e-261,"ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]"
"169","H1F0",2.2388333443593e-265,-0.329435926965616,0.236,0.99,4.86453709062388e-261,"H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]"
"170","CEBPZOS",2.94994248859463e-265,0.32902126151799,0.168,0.861,6.40963503921842e-261,"CEBPZ opposite strand [Source:HGNC Symbol;Acc:HGNC:49288]"
"171","DICER1",6.57720966586619e-265,0.255839729907223,0.109,0.703,1.4290961161994e-260,"dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]"
"172","SINHCAF",6.59416745425142e-265,0.29911191077923,0.158,0.834,1.43278070445975e-260,"SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]"
"173","MED13",2.18577551360616e-264,0.331511925203532,0.158,0.834,4.74925303596346e-260,"mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]"
"174","PABPC4",4.54333783915986e-264,0.30410435549533,0.174,0.875,9.87176445692654e-260,"poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]"
