"","genes","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"58","TM2D2",0,1.32514760641564,0.965,0.518,0,"NCC24","TM2D2","TM2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24127]"
"59","SMPX",0,1.31202091430444,0.708,0.023,0,"NCC24","SMPX","small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]"
"60","CTSE",0,1.29854988779144,0.742,0.091,0,"NCC24","CTSE","cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]"
"61","CPD",0,1.27446218722194,0.963,0.456,0,"NCC24","CPD","carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]"
"62","RPS17",0,1.2722290963834,1,1,0,"NCC24","RPS17","ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]"
"63","AARS",0,1.26630161381234,0.953,0.359,0,"NCC24","AARS","alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]"
"64","DDIT4",0,1.26035964780256,0.877,0.271,0,"NCC24","DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]"
"65","MT1E",0,1.26031733677418,0.724,0.011,0,"NCC24","MT1E","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]"
"66","PABPC1",0,1.25453947083171,1,1,0,"NCC24","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]"
"67","FDFT1",0,1.24044807266354,0.995,0.684,0,"NCC24","FDFT1","farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]"
"68","FDFT1",0,1.24044807266354,0.995,0.684,0,"NCC24","FDFT1","farnesyl-diphosphate farnesyltransferase 1 [Source:NCBI gene;Acc:2222]"
"69","C8orf82",0,1.23068739572765,0.974,0.474,0,"NCC24","C8orf82","chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826]"
"70","ILF3-DT",0,1.22198103894212,0.979,0.565,0,"NCC24","ILF3-DT","ILF3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27115]"
"71","RPL8",0,1.22154594572546,1,1,0,"NCC24","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]"
"72","COMTD1",0,1.21965414230335,0.979,0.609,0,"NCC24","COMTD1","catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]"
"73","TCEAL9",0,1.2078221540086,0.9,0.229,0,"NCC24","TCEAL9","transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]"
"74","SHARPIN",0,1.20009834974473,0.992,0.632,0,"NCC24","SHARPIN","SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]"
"75","CDC42EP1",0,1.18986583920348,0.986,0.617,0,"NCC24","CDC42EP1","CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]"
"76","IRX2",0,1.17575315880118,0.827,0.015,0,"NCC24","IRX2","iroquois homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14359]"
"77","RGS5",0,1.16898224387142,0.602,0.016,0,"NCC24","RGS5","regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001]"
"78","CEBPD",0,1.16439643746061,0.937,0.391,0,"NCC24","CEBPD","CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]"
"79","NT5C3B",0,1.16168888849927,0.846,0.008,0,"NCC24","NT5C3B","5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]"
"80","CYHR1",0,1.15329506593678,0.996,0.666,0,"NCC24","CYHR1","cysteine and histidine rich 1 [Source:HGNC Symbol;Acc:HGNC:17806]"
"81","EEF1G",0,1.14800302489887,0.919,0.273,0,"NCC24","EEF1G","eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]"
"82","EEF1D",0,1.12690444756535,1,1,0,"NCC24","EEF1D","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]"
"83","ANXA10",0,1.12471149521713,0.675,0.049,0,"NCC24","ANXA10","annexin A10 [Source:HGNC Symbol;Acc:HGNC:534]"
"84","PLTP",0,1.11205959264816,0.793,0.146,0,"NCC24","PLTP","phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]"
"85","IARS",0,1.10662702628331,0.978,0.655,0,"NCC24","IARS","isoleucyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:5330]"
"86","TNNC1",0,1.10623565563626,0.65,0.044,0,"NCC24","TNNC1","troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]"
"87","ADH1C",0,1.10274452595302,0.596,0,0,"NCC24","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
"88","PPP1R1B",0,1.10050999337594,0.784,0.01,0,"NCC24","PPP1R1B","protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]"
"89","TSTA3",0,1.09938563897287,1,0.883,0,"NCC24","TSTA3","tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]"
"90","MTMR9",0,1.09311053942988,0.903,0.252,0,"NCC24","MTMR9","myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]"
"91","TSPAN32",0,1.0929024366642,0.708,0.003,0,"NCC24","TSPAN32","tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]"
"92","B2M",0,1.08186464091556,1,1,0,"NCC24","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]"
"93","CDKN2A",0,1.08081094264514,0.906,0.19,0,"NCC24","CDKN2A","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]"
"94","CLDN18",0,1.07959382901875,0.531,0.001,0,"NCC24","CLDN18","claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]"
"95","CRNDE",0,1.07670319086333,0.993,0.775,0,"NCC24","CRNDE","colorectal neoplasia differentially expressed [Source:HGNC Symbol;Acc:HGNC:37078]"
"96","RPS28",0,1.07452296988214,1,1,0,"NCC24","RPS28","ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]"
"97","MED30",0,1.06577922191254,0.917,0.356,0,"NCC24","MED30","mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032]"
"98","APOC1",0,1.06536067024721,0.774,0.026,0,"NCC24","APOC1","apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]"
"99","NDUFA7",0,1.06373468336692,0.983,0.665,0,"NCC24","NDUFA7","NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]"
"100","ELFN1-AS1",0,1.05423132506364,0.748,0.105,0,"NCC24","ELFN1-AS1","ELFN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39071]"
"101","PTP4A3",0,1.05300540334481,0.835,0.1,0,"NCC24","PTP4A3","protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]"
"102","TARS",0,1.04969150408473,0.992,0.819,0,"NCC24","TARS","threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:11572]"
"103","C8orf33",0,1.04947542461084,0.993,0.788,0,"NCC24","C8orf33","chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]"
"104","MAL2",0,1.04242140831738,1,0.988,0,"NCC24","MAL2","mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]"
"105","COLCA1",0,1.03972017120389,0.79,0.114,0,"NCC24","COLCA1","colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]"
"106","DTD1",0,1.02240349148786,0.821,0.113,0,"NCC24","DTD1","D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]"
"107","TATDN1",0,1.00867601437406,0.992,0.744,0,"NCC24","TATDN1","TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24220]"
"108","ZHX1",0,1.00866700951401,0.921,0.368,0,"NCC24","ZHX1","zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]"
"109","EBAG9",0,1.00734493315485,0.996,0.787,0,"NCC24","EBAG9","estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]"
"110","SLCO1B3",0,1.00620092152482,0.781,0.022,0,"NCC24","SLCO1B3","solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]"
"111","C5orf38",0,0.993081833457904,0.778,0.016,0,"NCC24","C5orf38","chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:24226]"
"112","SULT1E1",0,0.968350218168953,0.543,0.006,0,"NCC24","SULT1E1","sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]"
"113","CYC1",0,0.965581569585341,1,0.981,0,"NCC24","CYC1","cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]"
"114","EIF3E",0,0.951138845328438,1,0.998,0,"NCC24","EIF3E","eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]"
"115","FBP1",0,0.935338377200113,0.731,0.005,0,"NCC24","FBP1","fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]"
"116","FAM110B",0,0.933346249187407,0.655,0.005,0,"NCC24","FAM110B","family with sequence similarity 110 member B [Source:HGNC Symbol;Acc:HGNC:28587]"
"117","AUTS2",0,0.929412046471128,0.841,0.158,0,"NCC24","AUTS2","activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]"
"118","TCEAL8",0,0.92656204826412,0.781,0.068,0,"NCC24","TCEAL8","transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683]"
"119","RFLNA",0,0.919774770962721,0.698,0.04,0,"NCC24","RFLNA","refilin A [Source:HGNC Symbol;Acc:HGNC:27051]"
"120","ARMCX3",0,0.917468987834801,0.735,0.016,0,"NCC24","ARMCX3","armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065]"
"121","TUSC1",0,0.908775758276244,0.741,0.003,0,"NCC24","TUSC1","tumor suppressor candidate 1 [Source:HGNC Symbol;Acc:HGNC:31010]"
"122","RETREG1",0,0.90659883791515,0.681,0.052,0,"NCC24","RETREG1","reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]"
"123","COL27A1",0,0.903204383000263,0.684,0.035,0,"NCC24","COL27A1","collagen type XXVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22986]"
"124","ROCK1",0,0.898620801973096,0.996,0.856,0,"NCC24","ROCK1","Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]"
"125","MAF1",0,0.893465311480559,1,0.943,0,"NCC24","MAF1","MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
"126","TRIR",0,0.892003848529816,0.999,0.992,0,"NCC24","TRIR","telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424]"
"127","GALNT6",0,0.87302403758343,0.722,0.077,0,"NCC24","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]"
"128","SLC9A3",0,0.863379278385954,0.746,0.064,0,"NCC24","SLC9A3","solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]"
"129","ERRFI1",0,0.850398638065452,0.565,0,0,"NCC24","ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]"
"130","GATA4",0,0.845600678014159,0.717,0.064,0,"NCC24","GATA4","GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]"
"131","JDP2",0,0.834698926951928,0.719,0.072,0,"NCC24","JDP2","Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]"
"132","AC023590.1",0,0.832367649485504,0.722,0.099,0,"NCC24","AC023590.1","novel transcript, antisense to SAMD12"
"133","SAMD5",0,0.825822166115923,0.641,0.011,0,"NCC24","SAMD5","sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]"
"134","PPP1R9A",0,0.820615594857466,0.654,0.008,0,"NCC24","PPP1R9A","protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946]"
"135","ENY2",0,0.806607537735644,1,0.994,0,"NCC24","ENY2","ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]"
"136","ARMCX6",0,0.798016174949582,0.715,0.023,0,"NCC24","ARMCX6","armadillo repeat containing X-linked 6 [Source:HGNC Symbol;Acc:HGNC:26094]"
"137","MLPH",0,0.797564990582985,0.645,0.037,0,"NCC24","MLPH","melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]"
"138","CITED4",0,0.793701129588317,0.657,0.025,0,"NCC24","CITED4","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]"
"139","LRMDA",0,0.783275526325242,0.646,0.021,0,"NCC24","LRMDA","leucine rich melanocyte differentiation associated [Source:HGNC Symbol;Acc:HGNC:23405]"
"140","CCNI",0,0.774399699150324,1,0.999,0,"NCC24","CCNI","cyclin I [Source:HGNC Symbol;Acc:HGNC:1595]"
"141","WDR83OS",0,0.754725637298354,1,0.976,0,"NCC24","WDR83OS","WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]"
"142","HES4",0,0.74910857056767,0.549,0.011,0,"NCC24","HES4","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]"
"143","HBE1",0,0.740475423422967,0.589,0.019,0,"NCC24","HBE1","hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]"
"144","ADCY1",0,0.7178518182882,0.554,0.003,0,"NCC24","ADCY1","adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]"
"145","TTTY14",0,0.710083690090844,0.591,0,0,"NCC24","TTTY14","testis-specific transcript, Y-linked 14 [Source:HGNC Symbol;Acc:HGNC:18495]"
"146","EIF3H",0,0.699129665157285,1,0.999,0,"NCC24","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]"
"147","XKR6",0,0.692942245261856,0.591,0.005,0,"NCC24","XKR6","XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]"
"148","KCND3",0,0.692077020985758,0.57,0.002,0,"NCC24","KCND3","potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]"
"149","FNBP1",0,0.673930629716674,0.582,0.008,0,"NCC24","FNBP1","formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]"
"150","CHRM3",0,0.672281987823866,0.594,0.016,0,"NCC24","CHRM3","cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]"
"151","REC8",0,0.664283366899934,0.567,0.016,0,"NCC24","REC8","REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]"
"152","ECHDC2",0,0.663822965163635,0.6,0.03,0,"NCC24","ECHDC2","enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]"
"153","MMGT1",0,0.663002778327219,0.604,0.001,0,"NCC24","MMGT1","membrane magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28100]"
"154","RPS6",0,0.658283418372139,1,1,0,"NCC24","RPS6","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]"
"155","RPS3",0,0.657687884898317,1,1,0,"NCC24","RPS3","ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]"
"156","RPL37",0,0.656692483537372,1,1,0,"NCC24","RPL37","ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]"
"157","CARD16",0,0.650857580993607,0.552,0,0,"NCC24","CARD16","caspase recruitment domain family member 16 [Source:HGNC Symbol;Acc:HGNC:33701]"
"158","RPL30",0,0.635023092484856,1,1,0,"NCC24","RPL30","ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]"
"159","RPL31",0,0.578253838593922,1,1,0,"NCC24","RPL31","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"160","RPL37A",0,0.537430387673849,1,1,0,"NCC24","RPL37A","ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]"
"161","RPS25",0,0.525438438527389,1,1,0,"NCC24","RPS25","ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]"
"162","RPL35A",0,0.498894238543555,1,1,0,"NCC24","RPL35A","ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]"
"163","RPLP0",0,0.487643953846889,1,1,0,"NCC24","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]"
"164","IDH1",1.20484535238738e-307,1.12788335018846,0.959,0.525,2.34414711760488e-303,"NCC24","IDH1","isocitrate dehydrogenase (NADP(+)) 1, cytosolic [Source:HGNC Symbol;Acc:HGNC:5382]"
"165","DEPTOR",3.04935154392292e-306,0.708983873477627,0.614,0.041,5.93281836385644e-302,"NCC24","DEPTOR","DEP domain containing MTOR interacting protein [Source:HGNC Symbol;Acc:HGNC:22953]"
"166","PTK2",3.2755452819196e-306,0.965052401519507,0.935,0.429,6.37290090050277e-302,"NCC24","PTK2","protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]"
"167","PCK2",1.711232463594e-305,1.0155170046191,0.873,0.28,3.32937388116849e-301,"NCC24","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"
"168","PLOD2",2.32392802363206e-305,0.568156555505099,0.505,0,4.52143436277854e-301,"NCC24","PLOD2","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]"
"169","RAD21",1.03742901036493e-302,1.20156424601211,0.99,0.725,2.01842188256601e-298,"NCC24","RAD21","RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]"
